measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,137,North Africa and Middle East,3,Both,10,25 to 29,5,Years,2010,50.5868031446798,51.21777101363383,49.93088952110043
26,Life expectancy,137,North Africa and Middle East,3,Both,11,30 to 34,5,Years,2010,45.87126615164984,46.483199128964365,45.242998045245386
26,Life expectancy,137,North Africa and Middle East,3,Both,12,35 to 39,5,Years,2010,41.17144290325799,41.762223822456725,40.567446718552574
26,Life expectancy,137,North Africa and Middle East,3,Both,13,40 to 44,5,Years,2010,36.52814243303584,37.09114266091163,35.95773118298929
26,Life expectancy,137,North Africa and Middle East,3,Both,14,45 to 49,5,Years,2010,31.972031462583704,32.49965377682398,31.43403795174613
26,Life expectancy,137,North Africa and Middle East,3,Both,15,50 to 54,5,Years,2010,27.559890430017465,28.05010667440876,27.058052720936885
26,Life expectancy,137,North Africa and Middle East,3,Both,16,55 to 59,5,Years,2010,23.37255548043126,23.82905491061239,22.922137755528205
26,Life expectancy,137,North Africa and Middle East,3,Both,17,60 to 64,5,Years,2010,19.453059355923607,19.85763295634561,19.04993924915485
26,Life expectancy,137,North Africa and Middle East,3,Both,18,65 to 69,5,Years,2010,15.880698068224792,16.231587329937263,15.531850732108017
26,Life expectancy,137,North Africa and Middle East,3,Both,19,70 to 74,5,Years,2010,12.623891159903364,12.911947352268001,12.345520539141951
26,Life expectancy,137,North Africa and Middle East,3,Both,20,75 to 79,5,Years,2010,9.767352516622958,9.994180667701183,9.55171226869192
26,Life expectancy,137,North Africa and Middle East,3,Both,30,80 to 84,5,Years,2010,7.3657604882449865,7.540944965280872,7.19948735640504
26,Life expectancy,137,North Africa and Middle East,3,Both,31,85 to 89,5,Years,2010,5.419326679432941,5.560501502559202,5.288320080328347
26,Life expectancy,137,North Africa and Middle East,3,Both,32,90 to 94,5,Years,2010,4.0858773594888715,4.203447706518242,3.9848424973670786
26,Life expectancy,4743,European Union,3,Both,8,15 to 19,5,Years,2016,66.23141877995837,66.27816265079862,66.18737705666038
26,Life expectancy,4743,European Union,3,Both,9,20 to 24,5,Years,2016,61.31102718250749,61.35713459107804,61.26771320092697
26,Life expectancy,4743,European Union,3,Both,10,25 to 29,5,Years,2016,56.425037894950506,56.47072238956259,56.38208362138136
26,Life expectancy,4743,European Union,3,Both,11,30 to 34,5,Years,2016,51.54853360866473,51.59380427313592,51.5059075854043
26,Life expectancy,4743,European Union,3,Both,12,35 to 39,5,Years,2016,46.69552573940454,46.740316168474095,46.65329224415862
26,Life expectancy,4743,European Union,3,Both,13,40 to 44,5,Years,2016,41.881632296510304,41.92571378625169,41.84000839139435
26,Life expectancy,4743,European Union,3,Both,14,45 to 49,5,Years,2016,37.143729966708136,37.18670135993863,37.10312929608992
26,Life expectancy,4743,European Union,3,Both,15,50 to 54,5,Years,2016,32.5268278629393,32.568156208639664,32.48790898576296
26,Life expectancy,4743,European Union,3,Both,16,55 to 59,5,Years,2016,28.06800050343503,28.106997588007676,28.031542043170425
26,Life expectancy,4743,European Union,3,Both,17,60 to 64,5,Years,2016,23.83566380196853,23.871380078486478,23.802385286179682
26,Life expectancy,4743,European Union,3,Both,18,65 to 69,5,Years,2016,19.8391722464219,19.870859158900604,19.8094125179804
26,Life expectancy,4743,European Union,3,Both,19,70 to 74,5,Years,2016,16.02918639462146,16.056867873095683,16.003436727932744
26,Life expectancy,4743,European Union,3,Both,20,75 to 79,5,Years,2016,12.480207525564548,12.503200952671229,12.4588336991206
26,Life expectancy,4743,European Union,3,Both,30,80 to 84,5,Years,2016,9.245712925012496,9.264361903393151,9.228579499254506
26,Life expectancy,4743,European Union,3,Both,31,85 to 89,5,Years,2016,6.558843765408118,6.572724880027235,6.545801084913362
26,Life expectancy,4743,European Union,3,Both,32,90 to 94,5,Years,2016,4.552130779115093,4.56178373615175,4.543087044434292
26,Life expectancy,158,South Asia,3,Both,8,15 to 19,5,Years,2005,55.82439997368648,56.36091108030064,55.28492538423502
26,Life expectancy,158,South Asia,3,Both,9,20 to 24,5,Years,2005,51.23341272056217,51.761716292533016,50.70881599757646
26,Life expectancy,158,South Asia,3,Both,10,25 to 29,5,Years,2005,46.72492981540681,47.23772583287529,46.213244625046826
26,Life expectancy,158,South Asia,3,Both,11,30 to 34,5,Years,2005,42.24688759669327,42.744487440898034,41.750694259904066
26,Life expectancy,158,South Asia,3,Both,12,35 to 39,5,Years,2005,37.80539708848983,38.288315484458906,37.32145101497938
26,Life expectancy,158,South Asia,3,Both,13,40 to 44,5,Years,2005,33.41404190032639,33.88063922300795,32.95051297579551
